precio_loc,farmacia,producto,busqueda,hora_consulta,pais,tipo_cambio,precio,farmaca_corto,product_name,num_prod,presentacion,unit,quantity
2824.5,spfpharmacy.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,47357.54,pchecker,everolimus,30,tableta,mg,5.0
8177.400000000001,spfpharmacy.com,everolimus,everolimus,13:53:56 22/09/2023,Canada,16.7667,137108.01,pchecker,everolimus,90,tableta,mg,5.0
1570.99,canadianpharmacystore.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,26340.32,pchecker,everolimus,30,tableta,mg,10.0
4210.99,canadianpharmacystore.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,70604.41,pchecker,everolimus,90,tableta,mg,10.0
1570.01,discountcanadadrugs.com/,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,26323.89,pchecker,everolimus,30,tableta,mg,10.0
4210.1,discountcanadadrugs.com/,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,70589.48,pchecker,everolimus,90,tableta,mg,10.0
1426.78,liferxpharmacy.com/,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,23922.39,pchecker,everolimus,60,tableta,mg,10.0
2027.52,liferxpharmacy.com/,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,33994.82,pchecker,everolimus,90,tableta,mg,10.0
1276.8,medsengage.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,21407.72,pchecker,everolimus,60,tableta,mg,10.0
1814.3999999999999,medsengage.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,30421.5,pchecker,everolimus,90,tableta,mg,10.0
1459.96,offshorecheapmeds.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,24478.71,pchecker,everolimus,60,tableta,mg,10.0
2074.6800000000003,offshorecheapmeds.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,34785.54,pchecker,everolimus,90,tableta,mg,10.0
5949.0,pricepropharmacy.com/,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,99745.1,pchecker,everolimus,30,tableta,mg,10.0
2824.5,spfpharmacy.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,47357.54,pchecker,everolimus,30,tableta,mg,10.0
8177.400000000001,spfpharmacy.com,everolimus,everolimus,13:54:08 22/09/2023,Canada,16.7667,137108.01,pchecker,everolimus,90,tableta,mg,10.0
127.8,1800rxonline.com/,venclyxto,venetoclax,13:55:28 22/09/2023,Canada,16.7667,2142.78,pchecker,venclyxto,14,tableta,mg,10.0
257.5,1800rxonline.com/,venclyxto,venetoclax,13:55:44 22/09/2023,Canada,16.7667,4317.43,pchecker,venclyxto,7,tableta,mg,50.0
127.8,1800rxonline.com/,venclyxto,venetoclax,13:55:59 22/09/2023,Canada,16.7667,2142.78,pchecker,venclyxto,14,tableta,mg,10.0
419.0,canadianprescriptiondrugstore.com/,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,7025.25,pchecker,sorafenib,150,tableta,mg,200.0
175.31,liferxpharmacy.com/,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,2939.37,pchecker,sorafenib,60,tableta,mg,200.0
249.12,liferxpharmacy.com/,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,4176.92,pchecker,sorafenib,90,tableta,mg,200.0
175.56,medsengage.com,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,2943.56,pchecker,sorafenib,60,tableta,mg,200.0
249.48000000000002,medsengage.com,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,4182.96,pchecker,sorafenib,90,tableta,mg,200.0
179.11,offshorecheapmeds.com,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,3003.08,pchecker,sorafenib,60,tableta,mg,200.0
254.52000000000004,offshorecheapmeds.com,sorafenib,sorafenib,13:56:14 22/09/2023,Canada,16.7667,4267.46,pchecker,sorafenib,90,tableta,mg,200.0
